NestID,EggLetter,YEAR,TYPE,FEMID,MALEID,CLTCHSIZ,SAMDOY,LAYDOY,AGEATSAM,ESTORD,KNOWNORD,MASS,LENGTH,WIDTH,VOLUME,YOLKMAS,ALBMAS,SHELMAS,MEANSTR,KIT,NOTESLP,NOTESPE,SampleID,Carot_conc_ugml,Carot_ug_g,Carot_ug_yolk,T_concentration,Yolk_sample_mass,Tng_yolkg,Tng_yolkmg,YolkTug,FDOY,AGE,ECTO,BMASS,TARSUS,CONDIT,MEANYAS,h.theta.fem,h.phi.fem,r.vec.fem,lum.fem,fem.scaled.mass,h.theta.egg,h.phi.egg,r.vec.egg,r.max.egg,r.achieved.egg,lum.egg,THICKNESS
SU13,A,2008,EXP,625,,3,134,130.5,3.5,2,2,6.45,2.795,2.0705,6.481615304,1.984,3.342,0.526,228,PE,might be trace of mixing b/w alb. and yolk,,SU13_A_N,1.716,34.324,,,,,,,134,6,0,82.8,35.7,-2.2203956,5,0.319953274,-0.802552955,0.301817285,0.218861976,94.53821357,2.351558782,-1.257235062,0.150594019,0.262814538,0.573004906,0.310404476,0.12
SU13,C,2008,EXP,625,,3,134,132,2,3,3,6.29,2.8165,2.0845,5.958914877,1.271,3.983,0.776,224.5,PE,,,SU13_C_N,2.946,56.113,71.32,4.15,0.5,6.2175,0.0062175,,134,6,0,82.8,35.7,-2.2203956,5,0.319953274,-0.802552955,0.301817285,0.218861976,94.53821357,2.402603737,-1.225390486,0.156848512,0.265692286,0.590338975,0.293598659,0.12
SU17,D,2008,EXP,802,,4,143,139.5,3.5,1.5,,6.31,2.9185,2.145,6.767758097,1.728,3.323,0.653,204,LP,2 stage.  trace alb in yolk and trace yolk in alb,,,,,,,,,,,143,5,10,92.7,40.7,2.2983059,3,0.31512383,-0.935766871,0.261153913,0.214518697,82.50818276,2.487861813,-1.166287168,0.174844721,0.271947322,0.64293599,0.18216317,0.12
AE05A,D,2008,CONT,629,,4,132,131,1,3.5,,6.3,3.0425,2.134,6.98312721,,,,,PE,,,,,,,,,,,,135,1,0,77.5,36.7,-0.9627308,2.5,0.297663991,-0.822581615,0.296049191,0.156982315,83.96201366,2.276903664,-1.263486905,0.142591786,0.262287953,0.543645961,0.329063412,0.13
LP02,C,2008,EXP,49268,,4,120,118.5,1.5,3.5,,6.67,2.984,2.1495,6.948711074,,,,,LP,"component weights may be off, lost a bit in recovery",done in field + first attempt = not ideal,,,,,,,,,,,,,,,,,,,,,,2.383671819,-1.270065327,0.139218513,0.261747158,0.531881661,0.303557149,0.13
LP06,A,2008,EXP,49280,,4,128,124,4,1,,7.33,3.2685,2.155,7.650213839,4.2,1.984,0.709,208,LP,b cracked in fridge (not frozen) -lost fluid - slight fungus growth attached to yolk - separation not clean- managed to salvage small sample of pure yolk,cracked and moldy,,,,,,,,,,128,6,5,90.5,38.3,0.00526112,3.5,0.254555243,-0.901574679,0.270212923,0.222461895,90.41022998,2.566130627,-1.124301456,0.18035209,0.277172256,0.650685941,0.195404494,0.13
LP29,C,2008,CONT,49261,19406,3,155,150.5,4.5,2.5,,6.18,3.012,2.482,9.351667528,,,,,LP,,,,,,,,,,,,,,,,,,,,,,,,2.522244391,-1.178330083,0.159683877,0.270571962,0.590171559,0.214103288,0.13
LR06,B,2009,EXP,880,,4,113,113,0,2,2,7.17,3.203,2.216,7.927330909,1.247,4.793,0.732,,LP,clean,,LR06_2_N,3.257,62.033,77.356,8.08,0.51,12.35475,0.01235475,15.40637325,115,6,0,94.4,37.8,-0.6843413,3,0.281580965,-0.939914126,0.258077911,0.26225733,96.6905966,2.30362406,-1.262920666,0.147939196,0.262335138,0.563932066,0.20817379,0.13
LR26,A,2009,EXP,889,,4,129,126,3,1,1,6.47,2.9215,2.073,6.327541923,1.32,3.064,1.13,,LP,clean. Lost alb.  Yolk hard but ok.,,LR26_1_N,1.486,29.73,,,,,,,132,5,1,85.1,39.2,1.16778756,4,0.326199669,-0.979110167,0.247788667,0.257779248,81.34534362,2.429282119,-1.217243868,0.147370334,0.266482287,0.553021125,0.210096809,0.13
LR26,C,2009,EXP,889,,4,129,128,1,3,3,6.61,2.8735,2.122,6.521274736,1.712,1.378,0.847,,LP,clean. Lost alb.  Yolk hard but ok.,,LR26_3_N,1.568,30.587,,,,,,,132,5,1,85.1,39.2,1.16778756,4,0.326199669,-0.979110167,0.247788667,0.257779248,81.34534362,2.3347591,-1.261372274,0.146224759,0.262464681,0.557121661,0.226191734,0.13
